carat,cut,color,clarity,depth,table,price,x,y,z
0.910,5.000,6.000,2.000,61.800,53.000,3723.000,6.220,6.300,3.870
0.700,3.000,6.000,7.000,62.500,56.000,3724.000,5.630,5.700,3.540
0.900,2.000,5.000,2.000,58.000,57.000,3770.000,6.340,6.410,3.700
0.900,3.000,3.000,3.000,60.800,57.000,3770.000,6.220,6.250,3.790
0.900,1.000,5.000,2.000,62.600,58.000,3787.000,6.010,6.060,3.780
1.010,4.000,6.000,2.000,61.800,61.000,3801.000,6.350,6.290,3.900
1.010,3.000,1.000,2.000,62.800,59.000,3906.000,6.340,6.370,3.990
0.810,5.000,5.000,5.000,61.500,55.000,3933.000,6.010,5.960,3.680
1.010,3.000,4.000,2.000,62.100,61.000,3966.000,6.270,6.380,3.930
1.080,2.000,1.000,4.000,64.300,58.000,3980.000,6.460,6.440,4.150
0.900,3.000,3.000,4.000,62.100,57.000,3989.000,6.160,6.230,3.850
1.000,3.000,3.000,2.000,63.000,61.000,4015.000,6.310,6.350,3.990
0.920,4.000,3.000,5.000,61.700,62.000,4039.000,6.200,6.120,3.800
0.710,5.000,6.000,5.000,61.900,56.000,4053.000,5.700,5.730,3.540
0.960,4.000,4.000,2.000,61.100,59.000,4059.000,6.320,6.280,3.850
1.120,4.000,3.000,2.000,61.000,59.000,4077.000,6.720,6.660,4.080
0.910,4.000,3.000,4.000,61.000,59.000,4128.000,6.320,6.270,3.840
0.900,3.000,4.000,4.000,63.400,59.000,4135.000,6.080,6.130,3.870
1.000,4.000,5.000,2.000,62.800,57.000,4155.000,6.440,6.370,4.020
1.010,1.000,3.000,3.000,64.600,55.000,4191.000,6.290,6.250,4.050
0.850,3.000,7.000,4.000,61.800,56.000,4211.000,6.060,6.080,3.750
0.900,3.000,3.000,5.000,63.500,59.000,4234.000,6.130,6.100,3.880
1.070,4.000,3.000,3.000,58.900,59.000,4235.000,6.760,6.710,3.970
1.020,4.000,5.000,2.000,62.000,59.000,4238.000,6.420,6.330,3.950
0.790,5.000,6.000,5.000,62.000,56.000,4240.000,5.900,5.930,3.670
0.900,5.000,4.000,2.000,60.700,57.000,4314.000,6.190,6.330,3.800
1.070,3.000,6.000,3.000,60.400,63.000,4314.000,6.670,6.600,4.010
1.010,1.000,5.000,2.000,65.300,59.000,4317.000,6.280,6.240,4.090
1.120,4.000,2.000,4.000,62.400,58.000,4321.000,6.630,6.590,4.130
0.930,3.000,6.000,2.000,60.500,57.000,4325.000,6.320,6.370,3.840
1.080,5.000,3.000,3.000,62.200,57.000,4333.000,6.560,6.600,4.090
1.010,3.000,6.000,2.000,63.500,55.000,4363.000,6.320,6.380,4.030
0.900,4.000,4.000,4.000,61.800,60.000,4386.000,6.160,6.210,3.820
1.090,4.000,3.000,2.000,61.200,62.000,4395.000,6.630,6.580,4.040
1.010,4.000,6.000,2.000,62.500,60.000,4434.000,6.420,6.390,4.000
0.900,4.000,7.000,4.000,58.700,62.000,4505.000,6.320,6.290,3.700
0.910,1.000,6.000,4.000,61.800,66.000,4550.000,6.110,6.090,3.770
1.050,2.000,7.000,2.000,60.000,63.000,4560.000,6.590,6.640,3.970
1.110,4.000,6.000,2.000,62.500,58.000,4581.000,6.610,6.630,4.140
1.210,4.000,1.000,5.000,61.000,60.000,4675.000,6.880,6.830,4.180
1.010,3.000,2.000,3.000,63.300,54.000,4749.000,6.340,6.360,4.020
1.010,4.000,6.000,2.000,62.600,59.000,4751.000,6.390,6.360,3.990
1.110,5.000,2.000,3.000,62.300,58.000,4771.000,6.600,6.650,4.130
1.010,5.000,3.000,3.000,62.900,55.000,4773.000,6.350,6.400,4.010
1.010,3.000,2.000,3.000,63.500,53.000,4794.000,6.320,6.400,4.040
1.040,2.000,5.000,3.000,63.100,57.000,4828.000,6.360,6.410,4.030
1.010,3.000,5.000,3.000,63.500,59.000,4846.000,6.390,6.300,4.030
1.090,3.000,5.000,2.000,63.200,58.000,4853.000,6.540,6.490,4.120
1.010,5.000,3.000,3.000,62.300,59.000,4876.000,6.360,6.410,3.980
1.020,3.000,3.000,3.000,63.400,57.000,4884.000,6.420,6.360,4.050
1.220,4.000,2.000,2.000,62.300,58.000,4919.000,6.850,6.800,4.250
1.050,2.000,3.000,3.000,63.200,56.000,4937.000,6.470,6.510,4.100
1.010,3.000,3.000,4.000,61.000,63.000,4959.000,6.380,6.410,3.900
1.150,4.000,3.000,2.000,62.900,56.000,4959.000,6.700,6.590,4.180
1.110,4.000,3.000,3.000,61.900,58.000,4960.000,6.630,6.590,4.090
1.120,5.000,2.000,4.000,62.800,55.000,4986.000,6.690,6.660,4.190
1.030,3.000,6.000,3.000,61.300,60.000,5010.000,6.510,6.530,4.000
1.240,3.000,2.000,3.000,62.500,57.000,5046.000,6.840,6.890,4.290
1.010,2.000,4.000,4.000,60.200,65.000,5050.000,6.550,6.480,3.920
1.160,5.000,2.000,3.000,62.600,57.000,5091.000,6.710,6.670,4.190
1.010,3.000,7.000,3.000,61.500,54.000,5132.000,6.400,6.470,3.960
1.000,1.000,3.000,5.000,64.600,59.000,5242.000,6.300,6.260,4.060
1.250,5.000,2.000,2.000,61.800,56.000,5259.000,6.920,6.940,4.280
1.000,4.000,5.000,3.000,60.700,60.000,5292.000,6.400,6.360,3.870
1.070,5.000,5.000,2.000,61.400,56.000,5313.000,6.570,6.630,4.050
1.130,4.000,3.000,3.000,62.100,58.000,5410.000,6.700,6.660,4.150
1.500,5.000,2.000,1.000,61.800,57.000,5412.000,7.310,7.390,4.540
0.910,5.000,6.000,3.000,62.300,55.000,5431.000,6.200,6.230,3.870
0.900,2.000,5.000,6.000,61.800,63.000,5480.000,6.140,6.190,3.810
1.000,1.000,4.000,4.000,63.700,55.000,5484.000,6.280,6.210,3.980
1.200,3.000,2.000,2.000,63.700,56.000,5490.000,6.660,6.710,4.260
1.010,5.000,4.000,3.000,61.100,58.000,5497.000,6.430,6.490,3.950
1.000,4.000,6.000,3.000,61.600,59.000,5500.000,6.380,6.410,3.940
1.320,3.000,1.000,2.000,61.700,60.000,5513.000,6.950,7.010,4.310
1.030,4.000,3.000,5.000,62.000,59.000,5523.000,6.450,6.480,4.010
1.030,5.000,7.000,3.000,62.400,57.000,5551.000,6.440,6.470,4.030
1.050,2.000,3.000,4.000,63.700,58.000,5592.000,6.450,6.400,4.090
1.100,5.000,4.000,3.000,61.600,56.000,5610.000,6.590,6.680,4.090
1.010,5.000,3.000,3.000,61.200,56.000,5664.000,6.440,6.470,3.950
1.010,2.000,6.000,3.000,63.900,56.000,5724.000,6.370,6.310,4.050
1.000,5.000,6.000,3.000,62.800,54.200,5728.000,6.320,6.400,4.010
1.000,1.000,6.000,4.000,67.000,54.000,5729.000,6.230,6.180,4.160
0.810,5.000,6.000,7.000,62.500,54.000,5752.000,5.950,5.980,3.730
1.200,5.000,2.000,3.000,60.300,56.000,5763.000,6.870,6.970,4.170
1.060,4.000,4.000,4.000,62.300,59.000,5813.000,6.520,6.490,4.050
1.130,4.000,3.000,5.000,58.900,58.000,6005.000,6.810,6.780,4.000
1.040,5.000,4.000,4.000,62.500,57.000,6012.000,6.450,6.540,4.060
1.010,3.000,4.000,4.000,62.400,58.000,6019.000,6.420,6.400,4.000
1.200,3.000,3.000,3.000,62.500,59.000,6019.000,6.660,6.720,4.180
1.220,3.000,3.000,3.000,61.200,60.000,6071.000,6.830,6.900,4.200
1.340,5.000,3.000,4.000,61.200,56.000,6078.000,7.090,7.050,4.330
1.070,3.000,6.000,4.000,62.500,57.000,6120.000,6.530,6.600,4.100
1.010,3.000,6.000,4.000,62.300,58.000,6310.000,6.390,6.450,4.000
1.010,3.000,4.000,4.000,61.600,60.000,6406.000,6.420,6.470,3.970
1.340,4.000,4.000,2.000,61.700,58.000,6464.000,7.040,7.100,4.360
0.900,3.000,6.000,6.000,62.000,55.000,6466.000,6.080,6.170,3.800
1.030,4.000,4.000,5.000,62.100,59.000,6479.000,6.480,6.400,4.000
1.050,5.000,4.000,4.000,61.900,56.000,6486.000,6.520,6.560,4.050
1.000,3.000,5.000,4.000,61.100,60.000,6619.000,6.360,6.430,3.910
1.110,4.000,4.000,4.000,60.800,58.000,6713.000,6.700,6.650,4.060
1.210,2.000,3.000,5.000,63.300,58.000,6748.000,6.720,6.770,4.270
1.120,5.000,5.000,4.000,60.900,55.000,6858.000,6.730,6.670,4.080
1.150,4.000,4.000,4.000,62.900,58.000,6955.000,6.700,6.620,4.190
1.390,2.000,5.000,2.000,63.800,55.000,6969.000,7.050,7.080,4.510
1.060,5.000,7.000,4.000,62.500,54.000,6981.000,6.600,6.530,4.100
1.050,3.000,4.000,5.000,62.300,56.000,7010.000,6.450,6.510,4.040
1.250,5.000,2.000,5.000,61.400,58.000,7042.000,6.890,6.930,4.240
1.300,3.000,3.000,4.000,62.500,59.000,7092.000,6.930,6.960,4.340
1.230,5.000,2.000,7.000,62.100,57.000,7117.000,6.900,6.830,4.260
1.320,3.000,2.000,4.000,60.500,59.000,7125.000,7.020,7.060,4.260
1.000,3.000,4.000,6.000,63.000,56.000,7177.000,6.370,6.400,4.020
1.400,4.000,4.000,2.000,62.000,60.000,7225.000,7.100,7.160,4.420
1.190,5.000,2.000,5.000,61.600,56.000,7328.000,6.810,6.830,4.200
1.000,3.000,6.000,5.000,59.400,56.000,7367.000,6.530,6.560,3.890
1.200,5.000,4.000,3.000,61.600,57.000,7372.000,6.850,6.880,4.230
1.560,2.000,3.000,2.000,59.200,59.000,7554.000,7.460,7.540,4.440
1.270,5.000,6.000,3.000,62.400,58.000,7631.000,6.870,6.910,4.300
1.080,4.000,5.000,4.000,62.100,59.000,7637.000,6.590,6.540,4.080
1.030,5.000,5.000,5.000,61.500,56.000,7906.000,6.470,6.530,4.000
1.210,3.000,5.000,4.000,63.500,55.000,7928.000,6.770,6.710,4.280
1.500,4.000,2.000,3.000,62.300,57.000,7955.000,7.280,7.220,4.520
1.300,3.000,4.000,3.000,61.000,57.000,7985.000,7.010,7.060,4.290
1.150,4.000,5.000,5.000,62.700,58.000,8018.000,6.720,6.670,4.200
1.530,5.000,2.000,2.000,61.300,59.000,8062.000,7.420,7.390,4.540
1.010,4.000,7.000,5.000,60.000,58.000,8286.000,6.600,6.540,3.940
1.700,4.000,5.000,2.000,60.200,61.000,8397.000,7.790,7.680,4.660
1.600,5.000,1.000,3.000,62.800,55.000,8418.000,7.480,7.420,4.680
1.120,5.000,7.000,4.000,62.000,55.000,8430.000,6.660,6.630,4.120
1.510,3.000,5.000,2.000,63.200,60.000,8462.000,7.200,7.270,4.570
1.020,5.000,6.000,5.000,62.600,56.000,8545.000,6.450,6.420,4.030
1.550,5.000,1.000,5.000,60.400,57.000,8548.000,7.520,7.540,4.550
1.010,5.000,5.000,6.000,61.000,57.000,8688.000,6.520,6.460,3.960
1.270,4.000,4.000,4.000,61.000,60.000,8705.000,6.970,6.930,4.240
1.050,5.000,5.000,6.000,61.900,57.000,8870.000,6.500,6.520,4.030
1.600,5.000,1.000,4.000,61.900,55.000,8886.000,7.510,7.540,4.660
1.240,5.000,6.000,4.000,62.700,58.000,8887.000,6.790,6.860,4.280
1.120,3.000,4.000,8.000,60.900,57.000,8962.000,6.680,6.790,4.100
1.520,3.000,7.000,2.000,63.200,58.000,9030.000,7.310,7.250,4.600
1.140,5.000,5.000,5.000,61.700,55.000,9074.000,6.680,6.710,4.130
1.200,4.000,6.000,4.000,63.000,58.000,9139.000,6.750,6.710,4.240
1.160,3.000,4.000,6.000,61.600,58.000,9205.000,6.670,6.730,4.130
1.510,5.000,2.000,4.000,61.600,57.000,9352.000,7.340,7.280,4.500
1.180,5.000,6.000,5.000,62.400,54.000,9709.000,6.740,6.790,4.220
1.240,4.000,5.000,5.000,60.100,59.000,9738.000,6.990,7.020,4.210
1.510,2.000,6.000,2.000,63.200,56.000,9833.000,7.260,7.320,4.610
1.500,4.000,6.000,2.000,61.200,59.000,9900.000,7.360,7.410,4.520
1.350,4.000,4.000,5.000,62.100,59.000,10012.000,7.060,7.020,4.370
1.890,4.000,4.000,2.000,62.900,58.000,10055.000,7.870,7.810,4.930
1.020,5.000,6.000,6.000,61.500,57.000,10384.000,6.550,6.500,4.010
1.610,4.000,5.000,3.000,60.200,58.000,10477.000,7.610,7.650,4.590
2.000,4.000,2.000,2.000,62.300,57.000,10528.000,8.120,8.050,5.030
1.280,5.000,4.000,6.000,61.200,54.000,10839.000,7.030,7.060,4.310
2.000,1.000,3.000,2.000,67.900,55.000,10913.000,7.670,7.580,5.180
1.010,4.000,7.000,6.000,62.400,58.000,10927.000,6.440,6.390,4.000
1.180,5.000,6.000,5.000,61.400,57.000,11104.000,6.770,6.810,4.170
1.560,5.000,4.000,3.000,61.200,56.000,11522.000,7.490,7.510,4.590
1.520,4.000,5.000,3.000,62.600,59.000,11637.000,7.270,7.360,4.580
1.080,5.000,6.000,7.000,61.000,56.000,12098.000,6.660,6.620,4.050
1.090,5.000,7.000,6.000,61.300,57.000,12185.000,6.610,6.660,4.070
2.000,3.000,1.000,3.000,62.200,59.000,12196.000,7.920,7.970,4.940
1.500,4.000,4.000,4.000,62.900,54.000,12308.000,7.310,7.260,4.580
1.700,3.000,2.000,5.000,62.300,58.100,12311.000,7.570,7.660,4.740
2.010,4.000,1.000,2.000,62.000,59.000,12403.000,8.040,8.100,5.000
1.830,4.000,6.000,2.000,62.000,57.000,12492.000,7.890,7.810,4.870
1.630,5.000,3.000,4.000,61.300,56.000,12620.000,7.600,7.570,4.650
2.000,2.000,4.000,2.000,64.300,56.000,12654.000,7.930,7.890,5.090
