carat,cut,color,clarity,depth,table,price,x,y,z
1.25,Ideal,I,SI2,61.8,56,5259,6.92,6.94,4.28
1,Premium,F,SI1,60.7,60,5292,6.4,6.36,3.87
1.07,Ideal,F,SI2,61.4,56,5313,6.57,6.63,4.05
1.13,Premium,H,SI1,62.1,58,5410,6.7,6.66,4.15
1.5,Ideal,I,I1,61.8,57,5412,7.31,7.39,4.54
0.91,Ideal,E,SI1,62.3,55,5431,6.2,6.23,3.87
0.9,Good,F,VVS2,61.8,63,5480,6.14,6.19,3.81
1,Fair,G,VS2,63.7,55,5484,6.28,6.21,3.98
1.2,Very Good,I,SI2,63.7,56,5490,6.66,6.71,4.26
1.01,Ideal,G,SI1,61.1,58,5497,6.43,6.49,3.95
1,Premium,E,SI1,61.6,59,5500,6.38,6.41,3.94
1.32,Very Good,J,SI2,61.7,60,5513,6.95,7.01,4.31
1.03,Premium,H,VS1,62,59,5523,6.45,6.48,4.01
1.03,Ideal,D,SI1,62.4,57,5551,6.44,6.47,4.03
1.05,Good,H,VS2,63.7,58,5592,6.45,6.4,4.09
1.1,Ideal,G,SI1,61.6,56,5610,6.59,6.68,4.09
1.01,Ideal,H,SI1,61.2,56,5664,6.44,6.47,3.95
1.01,Good,E,SI1,63.9,56,5724,6.37,6.31,4.05
1,Ideal,E,SI1,62.8,54.2,5728,6.32,6.4,4.01
1,Fair,E,VS2,67,54,5729,6.23,6.18,4.16
0.81,Ideal,E,VVS1,62.5,54,5752,5.95,5.98,3.73
1.2,Ideal,I,SI1,60.3,56,5763,6.87,6.97,4.17
1.06,Premium,G,VS2,62.3,59,5813,6.52,6.49,4.05
1.13,Premium,H,VS1,58.9,58,6005,6.81,6.78,4
1.04,Ideal,G,VS2,62.5,57,6012,6.45,6.54,4.06
1.01,Very Good,G,VS2,62.4,58,6019,6.42,6.4,4
1.2,Very Good,H,SI1,62.5,59,6019,6.66,6.72,4.18
1.22,Very Good,H,SI1,61.2,60,6071,6.83,6.9,4.2
1.34,Ideal,H,VS2,61.2,56,6078,7.09,7.05,4.33
1.07,Very Good,E,VS2,62.5,57,6120,6.53,6.6,4.1
1.01,Very Good,E,VS2,62.3,58,6310,6.39,6.45,4
1.01,Very Good,G,VS2,61.6,60,6406,6.42,6.47,3.97
1.34,Premium,G,SI2,61.7,58,6464,7.04,7.1,4.36
0.9,Very Good,E,VVS2,62,55,6466,6.08,6.17,3.8
1.03,Premium,G,VS1,62.1,59,6479,6.48,6.4,4
1.05,Ideal,G,VS2,61.9,56,6486,6.52,6.56,4.05
1,Very Good,F,VS2,61.1,60,6619,6.36,6.43,3.91
1.11,Premium,G,VS2,60.8,58,6713,6.7,6.65,4.06
1.21,Good,H,VS1,63.3,58,6748,6.72,6.77,4.27
1.12,Ideal,F,VS2,60.9,55,6858,6.73,6.67,4.08
1.15,Premium,G,VS2,62.9,58,6955,6.7,6.62,4.19
1.39,Good,F,SI2,63.8,55,6969,7.05,7.08,4.51
1.06,Ideal,D,VS2,62.5,54,6981,6.6,6.53,4.1
1.05,Very Good,G,VS1,62.3,56,7010,6.45,6.51,4.04
1.25,Ideal,I,VS1,61.4,58,7042,6.89,6.93,4.24
1.3,Very Good,H,VS2,62.5,59,7092,6.93,6.96,4.34
1.23,Ideal,I,VVS1,62.1,57,7117,6.9,6.83,4.26
1.32,Very Good,I,VS2,60.5,59,7125,7.02,7.06,4.26
1,Very Good,G,VVS2,63,56,7177,6.37,6.4,4.02
1.4,Premium,G,SI2,62,60,7225,7.1,7.16,4.42
1.19,Ideal,I,VS1,61.6,56,7328,6.81,6.83,4.2
1,Very Good,E,VS1,59.4,56,7367,6.53,6.56,3.89
1.2,Ideal,G,SI1,61.6,57,7372,6.85,6.88,4.23
1.56,Good,H,SI2,59.2,59,7554,7.46,7.54,4.44
1.27,Ideal,E,SI1,62.4,58,7631,6.87,6.91,4.3
1.08,Premium,F,VS2,62.1,59,7637,6.59,6.54,4.08
1.03,Ideal,F,VS1,61.5,56,7906,6.47,6.53,4
1.21,Very Good,F,VS2,63.5,55,7928,6.77,6.71,4.28
1.5,Premium,I,SI1,62.3,57,7955,7.28,7.22,4.52
1.3,Very Good,G,SI1,61,57,7985,7.01,7.06,4.29
1.15,Premium,F,VS1,62.7,58,8018,6.72,6.67,4.2
1.53,Ideal,I,SI2,61.3,59,8062,7.42,7.39,4.54
1.01,Premium,D,VS1,60,58,8286,6.6,6.54,3.94
1.7,Premium,F,SI2,60.2,61,8397,7.79,7.68,4.66
1.6,Ideal,J,SI1,62.8,55,8418,7.48,7.42,4.68
1.12,Ideal,D,VS2,62,55,8430,6.66,6.63,4.12
1.51,Very Good,F,SI2,63.2,60,8462,7.2,7.27,4.57
1.02,Ideal,E,VS1,62.6,56,8545,6.45,6.42,4.03
1.55,Ideal,J,VS1,60.4,57,8548,7.52,7.54,4.55
1.01,Ideal,F,VVS2,61,57,8688,6.52,6.46,3.96
1.27,Premium,G,VS2,61,60,8705,6.97,6.93,4.24
1.05,Ideal,F,VVS2,61.9,57,8870,6.5,6.52,4.03
1.6,Ideal,J,VS2,61.9,55,8886,7.51,7.54,4.66
1.24,Ideal,E,VS2,62.7,58,8887,6.79,6.86,4.28
1.12,Very Good,G,IF,60.9,57,8962,6.68,6.79,4.1
1.52,Very Good,D,SI2,63.2,58,9030,7.31,7.25,4.6
1.14,Ideal,F,VS1,61.7,55,9074,6.68,6.71,4.13
1.2,Premium,E,VS2,63,58,9139,6.75,6.71,4.24
1.16,Very Good,G,VVS2,61.6,58,9205,6.67,6.73,4.13
1.51,Ideal,I,VS2,61.6,57,9352,7.34,7.28,4.5
1.18,Ideal,E,VS1,62.4,54,9709,6.74,6.79,4.22
1.24,Premium,F,VS1,60.1,59,9738,6.99,7.02,4.21
1.51,Good,E,SI2,63.2,56,9833,7.26,7.32,4.61
1.5,Premium,E,SI2,61.2,59,9900,7.36,7.41,4.52
1.35,Premium,G,VS1,62.1,59,10012,7.06,7.02,4.37
1.89,Premium,G,SI2,62.9,58,10055,7.87,7.81,4.93
1.02,Ideal,E,VVS2,61.5,57,10384,6.55,6.5,4.01
1.61,Premium,F,SI1,60.2,58,10477,7.61,7.65,4.59
2,Premium,I,SI2,62.3,57,10528,8.12,8.05,5.03
1.28,Ideal,G,VVS2,61.2,54,10839,7.03,7.06,4.31
2,Fair,H,SI2,67.9,55,10913,7.67,7.58,5.18
1.01,Premium,D,VVS2,62.4,58,10927,6.44,6.39,4
1.18,Ideal,E,VS1,61.4,57,11104,6.77,6.81,4.17
1.56,Ideal,G,SI1,61.2,56,11522,7.49,7.51,4.59
1.52,Premium,F,SI1,62.6,59,11637,7.27,7.36,4.58
1.08,Ideal,E,VVS1,61,56,12098,6.66,6.62,4.05
1.09,Ideal,D,VVS2,61.3,57,12185,6.61,6.66,4.07
2,Very Good,J,SI1,62.2,59,12196,7.92,7.97,4.94
1.5,Premium,G,VS2,62.9,54,12308,7.31,7.26,4.58
1.7,Very Good,I,VS1,62.3,58.1,12311,7.57,7.66,4.74
2.01,Premium,J,SI2,62,59,12403,8.04,8.1,5
1.83,Premium,E,SI2,62,57,12492,7.89,7.81,4.87
1.63,Ideal,H,VS2,61.3,56,12620,7.6,7.57,4.65
2,Good,G,SI2,64.3,56,12654,7.93,7.89,5.09
